citekey,entry_type,author,year,title,venue,doi,url,arxiv,pmid,acl_id,category,collection,tags,task,languages,factuality_mechanism,bangla_relevance,inclusion_role,verification_status,source_note,note
trienes2022_patient_friendly_clinical,inproceedings,"Trienes, Jan and Schlötterer, Jörg and Schildhaus, Hans-Ulrich and Seifert, Christin",2022,Patient-Friendly Clinical Notes: Towards a New Text Simplification Dataset,"Proceedings of the Workshop on Text Simplification, Accessibility, and Readability",10.18653/v1/2022.tsar-1.3,https://aclanthology.org/2022.tsar-1.3/,,,2022.tsar-1.3,01_Core_Clinical_TS,01_Core_Clinical_TS,clinical-notes;core;dataset;german;readability,simplification,de,human_eval,transferable,core,doi_structurally_verified_from_source,manual_seed,
rahman2024_health_text_simplification,article,"Rahman, Md Mushfiqur and Irbaz, Mohammad Sabik and North, Kai and Williams, Michelle S. and Zampieri, Marcos and Lybarger, Kevin",2024,Health Text Simplification: An Annotated Corpus for Digestive Cancer Education and Novel Strategies for Reinforcement Learning,Journal of Biomedical Informatics,10.1016/j.jbi.2024.104727,https://dl.acm.org/doi/10.1016/j.jbi.2024.104727,2401.15043,39293643,,01_Core_Clinical_TS,01_Core_Clinical_TS,cancer;core;dataset;health-literacy;reinforcement-learning,simplification,en,human_eval,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
pavithra2025_bridging_health_literacy,inproceedings,"Pavithra, R. S.",2025,Bridging Health Literacy Gaps in Indian Languages: Multilingual LLMs for Clinical Text Simplification,Proceedings of the Workshop on Scientific Document Understanding for LLMs,10.18653/v1/2025.sciprodllm-1.1,https://aclanthology.org/2025.sciprodllm-1.1/,,,2025.sciprodllm-1.1,01_Core_Clinical_TS,01_Core_Clinical_TS,clinical-text-simplification;core;llm;low-resource;multilingual,simplification,en;hi;ta;te,none,transferable,core,doi_structurally_verified_from_source,manual_seed,
tran2025_medreadctrl_personalizing_medical,misc,"Tran, Hieu and Yao, Zonghai and Kwon, Sunjae and Kantu, Nandyala Siddharth and Duan, Zhangqi and Yu, Hong",2025,MedReadCtrl: Personalizing Medical Text Generation with Readability-Controlled Instruction Learning,arXiv preprint,,https://arxiv.org/abs/2507.07419,2507.07419,,,01_Core_Clinical_TS,01_Core_Clinical_TS,core;instruction-tuning;llm;medical-generation;readability,readability-control;generation,en,none,not_applicable,core,arxiv_stable_no_doi,manual_seed,
qenam2017_text_simplification_consumer,article,"Qenam, Basmah and Kim, Tae Youn and Carroll, Michael J. and Hogarth, Michael",2017,Text Simplification Using Consumer Health Vocabulary to Generate Patient-Centered Radiology Reporting: Translation and Evaluation,Journal of Medical Internet Research,10.2196/jmir.8531,https://www.jmir.org/2017/12/e417/,,,,01_Core_Clinical_TS,01_Core_Clinical_TS,consumer-health-vocabulary;core;radiology;readability,simplification;translation,en,ontology,not_applicable,core,doi_present_needs_crossref_check,manual_seed,
makhmutova2024_medical_text_simplification,misc,"Makhmutova, Liliya and Dras, Mark and Dale, Robert and Paris, Cecile",2024,Automated Medical Text Simplification for Enhanced Patient Understanding,arXiv preprint,,https://arxiv.org/abs/2402.16038,2402.16038,,,01_Core_Clinical_TS,01_Core_Clinical_TS,core;llm;medical-text-simplification;multimodal,simplification,en,human_eval,not_applicable,candidate,arxiv_stable_no_doi,manual_seed,
vora2025_s_3_pipeline,inproceedings,"Vora, Ansh and Chaudhari, Tanish and Hotha, Sanjeev and Sonawane, Sheetal",2025,S-3 Pipeline for Biomedical Text Simplification,CLEF 2025 Working Notes,,https://ceur-ws.org/Vol-4038/paper_361.pdf,,,,01_Core_Clinical_TS,01_Core_Clinical_TS,biomedical;core;pipeline;simpletext,simplification,en,none,not_applicable,candidate,url_stable_no_doi,manual_seed,
bakker2025_overview_clef_2025,inproceedings,"Bakker, Jan and Kamps, Jaap and others",2025,Overview of the CLEF 2025 SimpleText Task 1: Scientific and Biomedical Text Simplification,CLEF 2025 Working Notes,,https://ceur-ws.org/Vol-4038/paper_344.pdf,,,,01_Core_Clinical_TS,01_Core_Clinical_TS,benchmark;biomedical;core;simpletext,simplification;benchmark,en,human_eval,not_applicable,candidate,url_stable_no_doi,manual_seed,
grabar2018_clear_medical_french,inproceedings,"Grabar, Natalia and Cardon, Rémi",2018,CLEAR: A Corpus for Medical French Text Simplification,Proceedings of the First Workshop on Automatic Text Adaptation,,https://aclanthology.org/W18-7001/,,,W18-7001,01_Core_Clinical_TS,01_Core_Clinical_TS,core;dataset;french;medical-text-simplification,simplification,fr,none,transferable,candidate,acl_id_stable_no_doi_field,manual_seed,
cardon2020_french_biomedical_text,article,"Cardon, Rémi and Grabar, Natalia",2020,French Biomedical Text Simplification: When Small and Precise Helps,Journal of Biomedical Semantics,,https://jbiomedsem.biomedcentral.com/,,,,01_Core_Clinical_TS,01_Core_Clinical_TS,core;french;medical-text-simplification;readability,simplification,fr,none,transferable,candidate,url_stable_no_doi,manual_seed,
aziz2025_banglahealth_bengali_paraphrase,article,"Aziz, Faisal Ibn and Islam, Muhammad Nazrul",2025,BanglaHealth: A Bengali Paraphrase Dataset on Health Domain,Data in Brief,10.1016/j.dib.2025.111699,https://www.sciencedirect.com/science/article/pii/S2352340925004299,,,,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;dataset;health;paraphrase;synthetic,paraphrase,bn,none,direct,core,doi_structurally_verified_from_source,manual_seed,
khan2023_banglachq_summ_abstractive,inproceedings,"Khan, Alvi and Kamal, Fida and Chowdhury, Mohammad Abrar and Ahmed, Tasnim and Laskar, Md Tahmid Rahman and Ahmed, Sabbir",2023,BanglaCHQ-Summ: An Abstractive Summarization Dataset for Medical Queries in Bangla Conversational Speech,Proceedings of the First Workshop on Bangla Language Processing,10.18653/v1/2023.banglalp-1.10,https://aclanthology.org/2023.banglalp-1.10/,,,2023.banglalp-1.10,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;dataset;medical-queries;summarization,summarization,bn,human_eval,direct,core,doi_structurally_verified_from_source,manual_seed,
khan2023_nervous_about_my,inproceedings,"Khan, Alvi and Kamal, Fida and Chowdhury, Mohammad Abrar and Ahmed, Tasnim and Laskar, Md Tahmid Rahman and Ahmed, Sabbir",2023,NERvous About My Health: Constructing a Bengali Medical Named Entity Recognition Dataset,Findings of the Association for Computational Linguistics: EMNLP 2023,10.18653/v1/2023.findings-emnlp.383,https://aclanthology.org/2023.findings-emnlp.383/,,,2023.findings-emnlp.383,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;dataset;expert-validated;health;ner,NER,bn,entity_preservation,direct,core,doi_structurally_verified_from_source,manual_seed,
islam2026_bangla_meder_multi,article,"Islam, Md Ashraful and others",2026,Bangla-MedER: Multi-BERT Ensemble Approach for the Recognition of Bangla Medical Entities,PLOS ONE,10.1371/journal.pone.0342558,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0342558,,,,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;dataset;medical-entities;ner,NER,bn,entity_preservation,direct,core,doi_present_needs_crossref_check,manual_seed,
bhattacharjee2022_banglabert_language_pretraining,inproceedings,"Bhattacharjee, Abhik and Hasan, Tahmid and Ahmad, Wasi Uddin and Samin, Kazi and Islam, Md Saiful and Iqbal, Anindya and Rahman, M. Sohel and Shahriyar, Rifat",2022,BanglaBERT: Language Model Pretraining and Benchmarks for Low-Resource Language Understanding Evaluation in Bangla,Findings of the Association for Computational Linguistics: NAACL 2022,10.18653/v1/2022.findings-naacl.98,https://aclanthology.org/2022.findings-naacl.98/,2101.00204,,2022.findings-naacl.98,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;benchmark;language-model;low-resource,pretraining;benchmark,bn,none,direct,supporting,doi_structurally_verified_from_source,manual_seed,
das2024_banglat5_banglabert0_pretrained,inproceedings,"Das, Dipto and Bhattacharjee, Abhik and Shahriyar, Rifat",2024,BanglaT5 and BanglaBERT0: Large Pretrained Language Models for Bangla,Proceedings of LREC-COLING 2024,,https://aclanthology.org/2024.lrec-main/,,,,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;language-model;low-resource;t5,pretraining,bn,none,direct,supporting,url_stable_no_doi,manual_seed,
mahtab2025_benchmark_context_driven,inproceedings,"Mahtab, Md Mominul and Karim, Md Rezaul and Shahriyar, Rifat",2025,A Benchmark Dataset and Context-Driven Approach for Bangla Named Entity Recognition,Findings of the Association for Computational Linguistics: NAACL 2025,10.18653/v1/2025.findings-naacl.380,https://aclanthology.org/2025.findings-naacl.380/,,,2025.findings-naacl.380,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;benchmark;dataset;ner,NER,bn,entity_preservation,direct,supporting,doi_structurally_verified_from_source,manual_seed,
ekbal2008_bengali_named_entity,inproceedings,"Ekbal, Asif and Bandyopadhyay, Sivaji",2008,Bengali Named Entity Recognition Using Support Vector Machine,Proceedings of the IJCNLP-08 Workshop on Named Entity Recognition for South and South East Asian Languages,,https://aclanthology.org/I08-5008/,,,I08-5008,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;foundational;ner,NER,bn,entity_preservation,direct,background,acl_id_stable_no_doi_field,manual_seed,
hossain2017_bengali_question_answering,misc,"Hossain, Muhammad S. and Hoque, Enamul",2017,A Dataset for Bengali Question Answering in the Health Domain,Dataset record,,https://data.mendeley.com/datasets/4tt953xwk2,,,,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;dataset;health;qa,QA;classification;NER,bn,entity_preservation,direct,candidate,url_stable_no_doi,manual_seed,
laskar2023_benllmeval_comprehensive_evaluation,misc,"Laskar, Md Tahmid Rahman and Bari, M. Saiful and Rahman, Mizanur and Bhuiyan, Md Saiful Islam and Joty, Shafiq and Huang, Jimmy",2023,BenLLMEval: A Comprehensive Evaluation into the Potentials and Pitfalls of Large Language Models on Bengali NLP,arXiv preprint,,https://arxiv.org/abs/2309.13173,2309.13173,,,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;benchmark;evaluation;llm,evaluation,bn,none,direct,supporting,arxiv_stable_no_doi,manual_seed,
kakwani2020_indicnlpsuite_monolingual_corpora,inproceedings,"Kakwani, Divyanshu and Kunchukuttan, Anoop and Golla, Satish and Gokul, N.C. and Bhattacharyya, Avik and Khapra, Mitesh M. and Kumar, Pratyush",2020,"IndicNLPSuite: Monolingual Corpora, Evaluation Benchmarks and Pre-trained Multilingual Language Models for Indian Languages",Findings of the Association for Computational Linguistics: EMNLP 2020,10.18653/v1/2020.findings-emnlp.445,https://aclanthology.org/2020.findings-emnlp.445/,,,2020.findings-emnlp.445,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;indic;language-model;low-resource,pretraining;benchmark,bn;hi;ta;te;ml;mr;gu;kn;pa;or;as,none,direct,supporting,doi_structurally_verified_from_source,manual_seed,
ramesh2022_samanantar_largest_publicly,article,"Ramesh, Gowtham and Doddapaneni, Sumanth and Bheemaraj, Aravinth and Jobanputra, Mayank and Ak, Raghavan and Sharma, Ajitesh and Sahoo, Sujit and Diddee, Harshita and J, Mahalakshmi and Kakwani, Divyanshu and Kumar, Navneet and Pradeep, Aswin and Nagaraj, Srihari and Deepak, Kumar and Kunchukuttan, Anoop and Khapra, Mitesh M. and Goyal, Pratyush",2022,Samanantar: The Largest Publicly Available Parallel Corpora Collection for 11 Indic Languages,Transactions of the Association for Computational Linguistics,10.1162/tacl_a_00452,https://aclanthology.org/2022.tacl-1.9/,,,,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;dataset;indic;machine-translation,MT,bn;hi;ta;te;ml;mr;gu;kn;pa;or;as;en,none,direct,supporting,doi_structurally_verified_from_source,manual_seed,
doddapaneni2023_indictrans2_high_quality,misc,"Doddapaneni, Sumanth and Ramesh, Gowtham and Kunchukuttan, Anoop and Kumar, Pratyush and Khapra, Mitesh M.",2023,IndicTrans2: Towards High-Quality and Accessible Machine Translation Models for all 22 Scheduled Indian Languages,arXiv preprint,,https://arxiv.org/abs/2305.16307,2305.16307,,,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;indic;low-resource;machine-translation,MT,bn;indic,none,direct,supporting,arxiv_stable_no_doi,manual_seed,
costajuss2022_no_language_left,misc,"Costa-jussà, Marta R. and Cross, James and Çelebi, Onur and Elbayad, Maha and Heafield, Kenneth and Heffernan, Kevin and Kalbassi, Elahe and Lam, Janice and Licht, Daniel and Maillard, Jean and Sun, Anna and Wang, Skyler and Wenzek, Guillaume and Youngblood, Al and Akula, Bapi and others",2022,No Language Left Behind: Scaling Human-Centered Machine Translation,arXiv preprint,,https://arxiv.org/abs/2207.04672,2207.04672,,,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;low-resource;machine-translation;multilingual,MT,200+,none,transferable,supporting,arxiv_stable_no_doi,manual_seed,
dabre2020_multilingual_neural_machine,article,"Dabre, Raj and Chu, Chenhui and Kunchukuttan, Anoop",2020,A Survey of Multilingual Neural Machine Translation,ACM Computing Surveys,10.1145/3406095,https://doi.org/10.1145/3406095,,,,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,low-resource;machine-translation;multilingual;survey,MT;survey,multilingual,none,transferable,background,doi_structurally_verified_from_source,manual_seed,
hasan2020_not_low_resource,inproceedings,"Hasan, Tahmid and Bhattacharjee, Abhik and Samin, Kazi and Hasan, Masum and Basak, Madhusudan and Rahman, M. Sohel and Shahriyar, Rifat",2020,"Not Low-Resource Anymore: Aligner Ensembling, Batch Filtering, and New Datasets for Bengali-English Machine Translation",Proceedings of EMNLP 2020,10.18653/v1/2020.emnlp-main.207,https://aclanthology.org/2020.emnlp-main.207/,,,2020.emnlp-main.207,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;dataset;machine-translation,MT,bn;en,none,direct,supporting,doi_structurally_verified_from_source,manual_seed,
akter2025_banglat5_mhealth_bengali,misc,"Akter, Shabnam and Aziz, Faisal Ibn",2025,BanglaT5-mHealth: A Bengali Health-Domain Paraphrasing Model,Hugging Face model card,,https://huggingface.co/faisal4590aziz/bangla-t5-mHealth,,,,03_Adjacent_Bangla_NLP,03_Adjacent_Bangla_NLP,bangla;health;model;paraphrase,paraphrase,bn,none,direct,candidate,url_stable_no_doi,manual_seed,
maynez2020_faithfulness_factuality_abstractive,inproceedings,"Maynez, Joshua and Narayan, Shashi and Bohnet, Bernd and McDonald, Ryan",2020,On Faithfulness and Factuality in Abstractive Summarization,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2020.acl-main.173,https://aclanthology.org/2020.acl-main.173/,,,2020.acl-main.173,04_Factuality_Methods,04_Factuality_Methods,factuality;hallucination;human-eval;summarization,factuality-evaluation;summarization,en,human_eval,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
pagnoni2021_understanding_factuality_abstractive,article,"Pagnoni, Artidoro and Balachandran, Vidhisha and Tsvetkov, Yulia",2021,Understanding Factuality in Abstractive Summarization with FRANK: A Benchmark for Factuality Metrics,Transactions of the Association for Computational Linguistics,10.1162/tacl_a_00368,https://aclanthology.org/2021.tacl-1.28/,,,,04_Factuality_Methods,04_Factuality_Methods,benchmark;factuality;human-eval;summarization,factuality-evaluation,en,human_eval,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
gabriel2021_go_figure_meta,inproceedings,"Gabriel, Saadia and Celikyilmaz, Asli and Jha, Rahul and Choi, Yejin and Gao, Jianfeng",2021,GO FIGURE: A Meta Evaluation of Factuality in Summarization,Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021,10.18653/v1/2021.findings-acl.58,https://aclanthology.org/2021.findings-acl.58/,,,2021.findings-acl.58,04_Factuality_Methods,04_Factuality_Methods,factuality;metric;summarization,meta-evaluation,en,metric,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
falke2019_ranking_generated_summaries,inproceedings,"Falke, Tobias and Ribeiro, Leonardo F. R. and Utama, Prasetya Ajie and Dagan, Ido and Gurevych, Iryna",2019,Ranking Generated Summaries by Correctness: An Interesting but Challenging Application for Natural Language Inference,Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,10.18653/v1/P19-1213,https://aclanthology.org/P19-1213/,,,P19-1213,04_Factuality_Methods,04_Factuality_Methods,factuality;nli;summarization,factuality-evaluation,en,NLI,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
kryscinski2020_evaluating_factual_consistency,inproceedings,"Kryscinski, Wojciech and McCann, Bryan and Xiong, Caiming and Socher, Richard",2020,Evaluating the Factual Consistency of Abstractive Text Summarization,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2020.emnlp-main.750,https://aclanthology.org/2020.emnlp-main.750/,,,2020.emnlp-main.750,04_Factuality_Methods,04_Factuality_Methods,FactCC;factuality;summarization,factuality-evaluation,en,classifier,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
goyal2021_annotating_modeling_fine,inproceedings,"Goyal, Tanya and Durrett, Greg",2021,Annotating and Modeling Fine-grained Factuality in Summarization,Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics,10.18653/v1/2021.naacl-main.114,https://aclanthology.org/2021.naacl-main.114/,,,2021.naacl-main.114,04_Factuality_Methods,04_Factuality_Methods,factuality;fine-grained;human-eval;summarization,factuality-evaluation,en,human_eval,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
fabbri2021_summeval_re_evaluating,article,"Fabbri, Alexander R. and Kryscinski, Wojciech and McCann, Bryan and Xiong, Caiming and Socher, Richard and Radev, Dragomir",2021,SummEval: Re-evaluating Summarization Evaluation,Transactions of the Association for Computational Linguistics,10.1162/tacl_a_00373,https://aclanthology.org/2021.tacl-1.24/,,,,04_Factuality_Methods,04_Factuality_Methods,evaluation;factuality;human-eval;summarization,evaluation,en,human_eval,not_applicable,supporting,doi_structurally_verified_from_source,manual_seed,
durmus2020_feqa_question_answering,inproceedings,"Durmus, Esin and He, He and Diab, Mona",2020,FEQA: A Question Answering Evaluation Framework for Faithfulness Assessment in Abstractive Summarization,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2020.acl-main.454,https://aclanthology.org/2020.acl-main.454/,,,2020.acl-main.454,04_Factuality_Methods,04_Factuality_Methods,factuality;qa;summarization,factuality-evaluation,en,QA,not_applicable,supporting,doi_structurally_verified_from_source,manual_seed,
wang2020_asking_answering_questions,inproceedings,"Wang, Alex and Cho, Kyunghyun and Lewis, Mike",2020,Asking and Answering Questions to Evaluate the Factual Consistency of Summaries,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2020.acl-main.450,https://aclanthology.org/2020.acl-main.450/,,,2020.acl-main.450,04_Factuality_Methods,04_Factuality_Methods,factuality;qa;summarization,factuality-evaluation,en,QA,not_applicable,supporting,doi_structurally_verified_from_source,manual_seed,
scialom2021_questeval_summarization_asks,inproceedings,"Scialom, Thomas and Dray, Paul-Alexis and Lamprier, Sylvain and Piwowarski, Benjamin and Staiano, Jacopo",2021,QuestEval: Summarization Asks for Fact-based Evaluation,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.529,https://aclanthology.org/2021.emnlp-main.529/,,,2021.emnlp-main.529,04_Factuality_Methods,04_Factuality_Methods,evaluation;factuality;qa,evaluation,en,QA,not_applicable,supporting,doi_structurally_verified_from_source,manual_seed,
laban2022_summac_re_visiting,article,"Laban, Philippe and Schnabel, Tobias and Bennett, Paul N. and Hearst, Marti A.",2022,SummaC: Re-Visiting NLI-based Models for Inconsistency Detection in Summarization,Transactions of the Association for Computational Linguistics,10.1162/tacl_a_00453,https://aclanthology.org/2022.tacl-1.10/,,,,04_Factuality_Methods,04_Factuality_Methods,factuality;nli;summarization,factuality-evaluation,en,NLI,not_applicable,supporting,doi_structurally_verified_from_source,manual_seed,
min2023_factscore_fine_grained,inproceedings,"Min, Sewon and Krishna, Kalpesh and Lyu, Xinxi and Lewis, Mike and Zettlemoyer, Luke and Hajishirzi, Hannaneh",2023,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2023.emnlp-main.741,https://aclanthology.org/2023.emnlp-main.741/,,,2023.emnlp-main.741,04_Factuality_Methods,04_Factuality_Methods,atomic-facts;factuality;long-form-generation,factuality-evaluation,en,atomic_facts,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
zha2023_alignscore_evaluating_factual,inproceedings,"Zha, Yuheng and Yang, Yichao and Li, Ruohong and Hu, Xia",2023,AlignScore: Evaluating Factual Consistency with A Unified Alignment Function,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2023.acl-long.634,https://aclanthology.org/2023.acl-long.634/,,,2023.acl-long.634,04_Factuality_Methods,04_Factuality_Methods,alignment;evaluation;factuality,factuality-evaluation,en,alignment,not_applicable,supporting,doi_structurally_verified_from_source,manual_seed,
koto2020_ffci_framework_interpretable,inproceedings,"Koto, Fajri and Lau, Jey Han and Baldwin, Timothy",2020,FFCI: A Framework for Interpretable Automatic Evaluation of Summarization,Proceedings of COLING 2020,,https://aclanthology.org/2020.coling-main.251/,,,2020.coling-main.251,04_Factuality_Methods,04_Factuality_Methods,evaluation;factuality;summarization,evaluation,en,metric,not_applicable,supporting,acl_id_stable_no_doi_field,manual_seed,
