citekey,year,title,category,NLI,QA,alignment,atomic_facts,attribution,benchmark,classifier,constraint,context,copy_mechanism,entity_preservation,graph_grounding,human_eval,knowledge_aware,lexical,lexical_constraint,logic_constraint,metric,none,ontology,relations,retrieval_grounding,retrieval_nli,sampling_consistency,semantic,semantic_similarity,survey
rahman2024_health_text_simplification,2024,Health Text Simplification: An Annotated Corpus for Digestive Cancer Education and Novel Strategies for Reinforcement Learning,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pavithra2025_bridging_health_literacy,2025,Bridging Health Literacy Gaps in Indian Languages: Multilingual LLMs for Clinical Text Simplification,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tran2025_medreadctrl_personalizing_medical,2025,MedReadCtrl: Personalizing Medical Text Generation with Readability-Controlled Instruction Learning,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
qenam2017_text_simplification_consumer,2017,Text Simplification Using Consumer Health Vocabulary to Generate Patient-Centered Radiology Reporting: Translation and Evaluation,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
makhmutova2024_medical_text_simplification,2024,Automated Medical Text Simplification for Enhanced Patient Understanding,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vora2025_s_3_pipeline,2025,S-3 Pipeline for Biomedical Text Simplification,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bakker2025_overview_clef_2025,2025,Overview of the CLEF 2025 SimpleText Task 1: Scientific and Biomedical Text Simplification,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grabar2018_clear_medical_french,2018,CLEAR: A Corpus for Medical French Text Simplification,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cardon2020_french_biomedical_text,2020,French Biomedical Text Simplification: When Small and Precise Helps,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aziz2025_banglahealth_bengali_paraphrase,2025,BanglaHealth: A Bengali Paraphrase Dataset on Health Domain,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
khan2023_banglachq_summ_abstractive,2023,BanglaCHQ-Summ: An Abstractive Summarization Dataset for Medical Queries in Bangla Conversational Speech,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khan2023_nervous_about_my,2023,NERvous About My Health: Constructing a Bengali Medical Named Entity Recognition Dataset,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
islam2026_bangla_meder_multi,2026,Bangla-MedER: Multi-BERT Ensemble Approach for the Recognition of Bangla Medical Entities,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bhattacharjee2022_banglabert_language_pretraining,2022,BanglaBERT: Language Model Pretraining and Benchmarks for Low-Resource Language Understanding Evaluation in Bangla,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
das2024_banglat5_banglabert0_pretrained,2024,BanglaT5 and BanglaBERT0: Large Pretrained Language Models for Bangla,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mahtab2025_benchmark_context_driven,2025,A Benchmark Dataset and Context-Driven Approach for Bangla Named Entity Recognition,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ekbal2008_bengali_named_entity,2008,Bengali Named Entity Recognition Using Support Vector Machine,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hossain2017_bengali_question_answering,2017,A Dataset for Bengali Question Answering in the Health Domain,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laskar2023_benllmeval_comprehensive_evaluation,2023,BenLLMEval: A Comprehensive Evaluation into the Potentials and Pitfalls of Large Language Models on Bengali NLP,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kakwani2020_indicnlpsuite_monolingual_corpora,2020,"IndicNLPSuite: Monolingual Corpora, Evaluation Benchmarks and Pre-trained Multilingual Language Models for Indian Languages",03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ramesh2022_samanantar_largest_publicly,2022,Samanantar: The Largest Publicly Available Parallel Corpora Collection for 11 Indic Languages,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
doddapaneni2023_indictrans2_high_quality,2023,IndicTrans2: Towards High-Quality and Accessible Machine Translation Models for all 22 Scheduled Indian Languages,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
costajuss2022_no_language_left,2022,No Language Left Behind: Scaling Human-Centered Machine Translation,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dabre2020_multilingual_neural_machine,2020,A Survey of Multilingual Neural Machine Translation,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hasan2020_not_low_resource,2020,"Not Low-Resource Anymore: Aligner Ensembling, Batch Filtering, and New Datasets for Bengali-English Machine Translation",03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
akter2025_banglat5_mhealth_bengali,2025,BanglaT5-mHealth: A Bengali Health-Domain Paraphrasing Model,03_Adjacent_Bangla_NLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
maynez2020_faithfulness_factuality_abstractive,2020,On Faithfulness and Factuality in Abstractive Summarization,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pagnoni2021_understanding_factuality_abstractive,2021,Understanding Factuality in Abstractive Summarization with FRANK: A Benchmark for Factuality Metrics,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gabriel2021_go_figure_meta,2021,GO FIGURE: A Meta Evaluation of Factuality in Summarization,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
falke2019_ranking_generated_summaries,2019,Ranking Generated Summaries by Correctness: An Interesting but Challenging Application for Natural Language Inference,04_Factuality_Methods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kryscinski2020_evaluating_factual_consistency,2020,Evaluating the Factual Consistency of Abstractive Text Summarization,04_Factuality_Methods,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goyal2021_annotating_modeling_fine,2021,Annotating and Modeling Fine-grained Factuality in Summarization,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fabbri2021_summeval_re_evaluating,2021,SummEval: Re-evaluating Summarization Evaluation,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durmus2020_feqa_question_answering,2020,FEQA: A Question Answering Evaluation Framework for Faithfulness Assessment in Abstractive Summarization,04_Factuality_Methods,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wang2020_asking_answering_questions,2020,Asking and Answering Questions to Evaluate the Factual Consistency of Summaries,04_Factuality_Methods,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scialom2021_questeval_summarization_asks,2021,QuestEval: Summarization Asks for Fact-based Evaluation,04_Factuality_Methods,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laban2022_summac_re_visiting,2022,SummaC: Re-Visiting NLI-based Models for Inconsistency Detection in Summarization,04_Factuality_Methods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
min2023_factscore_fine_grained,2023,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,04_Factuality_Methods,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zha2023_alignscore_evaluating_factual,2023,AlignScore: Evaluating Factual Consistency with A Unified Alignment Function,04_Factuality_Methods,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
koto2020_ffci_framework_interpretable,2020,FFCI: A Framework for Interpretable Automatic Evaluation of Summarization,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cao2018_faithful_original_fact,2018,Faithful to the Original: Fact Aware Neural Abstractive Summarization,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
goodrich2019_assessing_factual_accuracy,2019,Assessing the Factual Accuracy of Generated Text,04_Factuality_Methods,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dziri2022_evaluating_attribution_dialogue,2022,Evaluating Attribution in Dialogue Systems: The BEGIN Benchmark,04_Factuality_Methods,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rashkin2023_measuring_attribution_natural,2023,Measuring Attribution in Natural Language Generation Models,04_Factuality_Methods,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
li2023_hallucination_natural_language,2023,Survey of Hallucination in Natural Language Generation,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ji2023_hallucination_natural_language,2023,Survey of Hallucination in Natural Language Generation,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
manakul2023_selfcheckgpt_zero_resource,2023,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
li2023_halueval_hallucination_evaluation,2023,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,04_Factuality_Methods,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chen2024_hallucination_detection_robustly,2024,Hallucination Detection: Robustly Discerning Reliable Answers in Large Language Models,04_Factuality_Methods,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tam2023_checking_facts_fact,2023,Checking the Facts: A Survey of Fact-Checking with Large Language Models,04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
huang2025_hallucination_language_principles,2025,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",04_Factuality_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
liu2024_lost_middle_how,2024,Lost in the Middle: How Language Models Use Long Contexts,04_Factuality_Methods,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
romanov2018_lessons_natural_language,2018,Lessons from Natural Language Inference in the Clinical Domain,07_Medical_NLI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conneau2018_xnli_evaluating_cross,2018,XNLI: Evaluating Cross-lingual Sentence Representations,07_Medical_NLI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggarwal2022_indicxnli_evaluating_multilingual,2022,IndicXNLI: Evaluating Multilingual Inference for Indian Languages,07_Medical_NLI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bowman2015_annotated_learning_natural,2015,A Large Annotated Corpus for Learning Natural Language Inference,07_Medical_NLI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
williams2018_broad_coverage_challenge,2018,A Broad-Coverage Challenge Corpus for Sentence Understanding through Inference,07_Medical_NLI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herlihy2021_mednli_not_immune,2021,MedNLI Is Not Immune: Natural Language Inference Artifacts in the Clinical Domain,07_Medical_NLI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oul2025_turkmednli_turkish_medical,2025,TurkMedNLI: A Turkish Medical Natural Language Inference Dataset,07_Medical_NLI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chaban2024_enhancing_medical_nli,2024,Enhancing Medical NLI with Integrated Domain Knowledge,07_Medical_NLI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wadden2020_fact_or_fiction,2020,Fact or Fiction: Verifying Scientific Claims,07_Medical_NLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
saakyan2021_covid_fact_fact,2021,COVID-Fact: Fact Extraction and Verification of Real-World Claims on COVID-19 Pandemic,07_Medical_NLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kotonya2020_explainable_fact_checking,2020,Explainable Automated Fact-Checking for Public Health Claims,07_Medical_NLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
thorne2018_fever_fact_extraction,2018,FEVER: A Large-scale Dataset for Fact Extraction and VERification,07_Medical_NLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nie2019_combining_fact_extraction,2019,Combining Fact Extraction and Verification with Neural Semantic Matching Networks,07_Medical_NLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
schuster2021_get_your_vitamin,2021,Get Your Vitamin C! Robust Fact Verification with Contrastive Evidence,07_Medical_NLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zetsu2024_edit_constrained_decoding,2024,Edit-Constrained Decoding for Sentence Simplification,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hokamp2017_lexically_constrained_decoding,2017,Lexically Constrained Decoding for Sequence Generation Using Grid Beam Search,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
post2018_fast_lexically_constrained,2018,Fast Lexically Constrained Decoding with Dynamic Beam Allocation for Neural Machine Translation,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
anderson2017_guided_open_vocabulary,2017,Guided Open Vocabulary Image Captioning with Constrained Beam Search,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lu2021_neurologic_decoding_un,2021,Neurologic Decoding: (Un)supervised Neural Text Generation with Predicate Logic Constraints,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
welleck2020_neural_text_generation,2020,Neural Text Generation with Unlikelihood Training,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pascual2021_plug_play_controlled,2021,A Plug-and-Play Method for Controlled Text Generation,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dathathri2020_plug_play_language,2020,Plug and Play Language Models: A Simple Approach to Controlled Text Generation,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
krause2021_gedi_generative_discriminator,2021,GeDi: Generative Discriminator Guided Sequence Generation,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
shin2020_autoprompt_eliciting_knowledge,2020,AutoPrompt: Eliciting Knowledge from Language Models with Automatically Generated Prompts,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hu2017_controlled_generation_text,2017,Toward Controlled Generation of Text,05_Constrained_Decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kumar2020_controlled_text_generation,2020,Controlled Text Generation as Continuous Optimization with Multiple Constraints,05_Constrained_Decoding,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lewis2020_retrieval_augmented_generation,2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
guu2020_realm_retrieval_augmented,2020,REALM: Retrieval-Augmented Language Model Pre-Training,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
karpukhin2020_dense_passage_retrieval,2020,Dense Passage Retrieval for Open-Domain Question Answering,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
izacard2021_leveraging_passage_retrieval,2021,Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
asai2024_self_rag_learning,2024,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gao2024_retrieval_augmented_generation,2024,Retrieval-Augmented Generation for Large Language Models: A Survey,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
edge2024_local_global_graph,2024,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xiong2024_benchmarking_retrieval_augmented,2024,Benchmarking Retrieval-Augmented Generation for Medicine,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
singhal2023_language_encode_clinical,2023,Large Language Models Encode Clinical Knowledge,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singhal2025_expert_level_medical,2025,Toward Expert-Level Medical Question Answering with Large Language Models,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jin2019_pubmedqa_biomedical_research,2019,PubMedQA: A Dataset for Biomedical Research Question Answering,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
luo2022_biogpt_generative_pre,2022,BioGPT: Generative Pre-trained Transformer for Biomedical Text Generation and Mining,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lee2020_biobert_pre_trained,2020,BioBERT: A Pre-trained Biomedical Language Representation Model for Biomedical Text Mining,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
alsentzer2019_publicly_available_clinical,2019,Publicly Available Clinical BERT Embeddings,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
peng2019_transfer_learning_biomedical,2019,Transfer Learning in Biomedical Natural Language Processing: An Evaluation of BERT and ELMo on Ten Benchmarking Datasets,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bodenreider2004_unified_medical_language,2004,The Unified Medical Language System (UMLS): Integrating Biomedical Terminology,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lindberg1993_unified_medical_language,1993,The Unified Medical Language System,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
zeng2006_exploring_developing_consumer,2006,Exploring and Developing Consumer Health Vocabularies,06_RAG_KG_Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
saggion2017_text_simplification,2017,Automatic Text Simplification,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
alvamanchego2020_easse_easier_sentence,2020,EASSE: Easier Automatic Sentence Simplification Evaluation,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
xu2016_optimizing_statistical_machine,2016,Optimizing Statistical Machine Translation for Text Simplification,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zhang2017_sentence_simplification_deep,2017,Sentence Simplification with Deep Reinforcement Learning,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nisioi2017_exploring_neural_text,2017,Exploring Neural Text Simplification Models,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
martin2020_muss_multilingual_unsupervised,2020,MUSS: Multilingual Unsupervised Sentence Simplification by Mining Paraphrases,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
martin2022_muss_multilingual_simplification,2022,MUSS: Multilingual Simplification by Encoding Simplification Operations,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
scarton2018_learning_simplification_specific,2018,Learning Simplifications for Specific Target Audiences,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
maddela2018_word_complexity_lexicon,2018,A Word-Complexity Lexicon and A Neural Readability Ranking Model for Lexical Simplification,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shardlow2014_text_simplification,2014,A Survey of Automated Text Simplification,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
