citekey,title,doi,url,identifier_type,verification_status,action
cao2018_faithful_original_fact,Faithful to the Original: Fact Aware Neural Abstractive Summarization,10.1609/aaai.v32i1.11960,https://ojs.aaai.org/index.php/AAAI/article/view/11960,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
goodrich2019_assessing_factual_accuracy,Assessing the Factual Accuracy of Generated Text,10.1145/3292500.3330955,https://doi.org/10.1145/3292500.3330955,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
dziri2022_evaluating_attribution_dialogue,Evaluating Attribution in Dialogue Systems: The BEGIN Benchmark,10.1162/tacl_a_00506,https://aclanthology.org/2022.tacl-1.62/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
rashkin2023_measuring_attribution_natural,Measuring Attribution in Natural Language Generation Models,10.1162/coli_a_00486,https://doi.org/10.1162/coli_a_00486,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
li2023_hallucination_natural_language,Survey of Hallucination in Natural Language Generation,,https://arxiv.org/abs/2202.03629,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
ji2023_hallucination_natural_language,Survey of Hallucination in Natural Language Generation,10.1145/3571730,https://doi.org/10.1145/3571730,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
manakul2023_selfcheckgpt_zero_resource,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,10.18653/v1/2023.emnlp-main.557,https://aclanthology.org/2023.emnlp-main.557/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
li2023_halueval_hallucination_evaluation,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,10.18653/v1/2023.emnlp-main.397,https://aclanthology.org/2023.emnlp-main.397/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
chen2024_hallucination_detection_robustly,Hallucination Detection: Robustly Discerning Reliable Answers in Large Language Models,10.1145/3627673.3679910,https://doi.org/10.1145/3627673.3679910,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
tam2023_checking_facts_fact,Checking the Facts: A Survey of Fact-Checking with Large Language Models,,https://arxiv.org/abs/2310.02140,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
huang2025_hallucination_language_principles,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",10.1145/3703155,https://doi.org/10.1145/3703155,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
liu2024_lost_middle_how,Lost in the Middle: How Language Models Use Long Contexts,10.1162/tacl_a_00638,https://aclanthology.org/2024.tacl-1.9/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
romanov2018_lessons_natural_language,Lessons from Natural Language Inference in the Clinical Domain,10.18653/v1/D18-1187,https://aclanthology.org/D18-1187/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
conneau2018_xnli_evaluating_cross,XNLI: Evaluating Cross-lingual Sentence Representations,10.18653/v1/D18-1269,https://aclanthology.org/D18-1269/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
aggarwal2022_indicxnli_evaluating_multilingual,IndicXNLI: Evaluating Multilingual Inference for Indian Languages,10.18653/v1/2022.emnlp-main.755,https://aclanthology.org/2022.emnlp-main.755/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
bowman2015_annotated_learning_natural,A Large Annotated Corpus for Learning Natural Language Inference,10.18653/v1/D15-1075,https://aclanthology.org/D15-1075/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
williams2018_broad_coverage_challenge,A Broad-Coverage Challenge Corpus for Sentence Understanding through Inference,10.18653/v1/N18-1101,https://aclanthology.org/N18-1101/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
herlihy2021_mednli_not_immune,MedNLI Is Not Immune: Natural Language Inference Artifacts in the Clinical Domain,,https://arxiv.org/abs/2106.01491,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
oul2025_turkmednli_turkish_medical,TurkMedNLI: A Turkish Medical Natural Language Inference Dataset,10.1038/s41597-025-04689-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC11888880/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
chaban2024_enhancing_medical_nli,Enhancing Medical NLI with Integrated Domain Knowledge,,https://ceur-ws.org/Vol-3790/paper23.pdf,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
wadden2020_fact_or_fiction,Fact or Fiction: Verifying Scientific Claims,10.18653/v1/2020.emnlp-main.609,https://aclanthology.org/2020.emnlp-main.609/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
saakyan2021_covid_fact_fact,COVID-Fact: Fact Extraction and Verification of Real-World Claims on COVID-19 Pandemic,10.18653/v1/2021.acl-long.165,https://aclanthology.org/2021.acl-long.165/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
kotonya2020_explainable_fact_checking,Explainable Automated Fact-Checking for Public Health Claims,10.18653/v1/2020.emnlp-main.623,https://aclanthology.org/2020.emnlp-main.623/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
thorne2018_fever_fact_extraction,FEVER: A Large-scale Dataset for Fact Extraction and VERification,10.18653/v1/N18-1074,https://aclanthology.org/N18-1074/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
nie2019_combining_fact_extraction,Combining Fact Extraction and Verification with Neural Semantic Matching Networks,10.1609/aaai.v33i01.33016859,https://ojs.aaai.org/index.php/AAAI/article/view/4650,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
schuster2021_get_your_vitamin,Get Your Vitamin C! Robust Fact Verification with Contrastive Evidence,10.18653/v1/2021.naacl-main.52,https://aclanthology.org/2021.naacl-main.52/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
zetsu2024_edit_constrained_decoding,Edit-Constrained Decoding for Sentence Simplification,10.18653/v1/2024.findings-emnlp.419,https://aclanthology.org/2024.findings-emnlp.419/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
hokamp2017_lexically_constrained_decoding,Lexically Constrained Decoding for Sequence Generation Using Grid Beam Search,10.18653/v1/P17-1141,https://aclanthology.org/P17-1141/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
post2018_fast_lexically_constrained,Fast Lexically Constrained Decoding with Dynamic Beam Allocation for Neural Machine Translation,10.18653/v1/N18-1119,https://aclanthology.org/N18-1119/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
anderson2017_guided_open_vocabulary,Guided Open Vocabulary Image Captioning with Constrained Beam Search,10.18653/v1/D17-1098,https://aclanthology.org/D17-1098/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
lu2021_neurologic_decoding_un,Neurologic Decoding: (Un)supervised Neural Text Generation with Predicate Logic Constraints,10.18653/v1/2021.naacl-main.339,https://aclanthology.org/2021.naacl-main.339/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
welleck2020_neural_text_generation,Neural Text Generation with Unlikelihood Training,,https://openreview.net/forum?id=SJeYe0NtvH,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
pascual2021_plug_play_controlled,A Plug-and-Play Method for Controlled Text Generation,10.18653/v1/2021.findings-acl.334,https://aclanthology.org/2021.findings-acl.334/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
dathathri2020_plug_play_language,Plug and Play Language Models: A Simple Approach to Controlled Text Generation,,https://openreview.net/forum?id=H1edEyBKDS,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
krause2021_gedi_generative_discriminator,GeDi: Generative Discriminator Guided Sequence Generation,10.18653/v1/2021.findings-emnlp.424,https://aclanthology.org/2021.findings-emnlp.424/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
shin2020_autoprompt_eliciting_knowledge,AutoPrompt: Eliciting Knowledge from Language Models with Automatically Generated Prompts,10.18653/v1/2020.emnlp-main.346,https://aclanthology.org/2020.emnlp-main.346/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
hu2017_controlled_generation_text,Toward Controlled Generation of Text,,https://proceedings.mlr.press/v70/hu17e.html,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
kumar2020_controlled_text_generation,Controlled Text Generation as Continuous Optimization with Multiple Constraints,,https://proceedings.neurips.cc/paper/2020/hash/1f71e393b3809197ed66df836fe833e5-Abstract.html,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
lewis2020_retrieval_augmented_generation,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
guu2020_realm_retrieval_augmented,REALM: Retrieval-Augmented Language Model Pre-Training,,https://proceedings.mlr.press/v119/guu20a.html,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
karpukhin2020_dense_passage_retrieval,Dense Passage Retrieval for Open-Domain Question Answering,10.18653/v1/2020.emnlp-main.550,https://aclanthology.org/2020.emnlp-main.550/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
izacard2021_leveraging_passage_retrieval,Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering,10.18653/v1/2021.eacl-main.74,https://aclanthology.org/2021.eacl-main.74/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
asai2024_self_rag_learning,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",,https://arxiv.org/abs/2310.11511,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
gao2024_retrieval_augmented_generation,Retrieval-Augmented Generation for Large Language Models: A Survey,,https://arxiv.org/abs/2312.10997,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
edge2024_local_global_graph,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,,https://arxiv.org/abs/2404.16130,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
xiong2024_benchmarking_retrieval_augmented,Benchmarking Retrieval-Augmented Generation for Medicine,,https://arxiv.org/abs/2402.13178,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
singhal2023_language_encode_clinical,Large Language Models Encode Clinical Knowledge,10.1038/s41586-023-06291-2,https://www.nature.com/articles/s41586-023-06291-2,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
singhal2025_expert_level_medical,Toward Expert-Level Medical Question Answering with Large Language Models,10.1038/s41591-025-03483-4,https://www.nature.com/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
jin2019_pubmedqa_biomedical_research,PubMedQA: A Dataset for Biomedical Research Question Answering,10.18653/v1/D19-1259,https://aclanthology.org/D19-1259/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
luo2022_biogpt_generative_pre,BioGPT: Generative Pre-trained Transformer for Biomedical Text Generation and Mining,10.1093/bib/bbac409,https://academic.oup.com/bib/article/23/6/bbac409/6713511,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
lee2020_biobert_pre_trained,BioBERT: A Pre-trained Biomedical Language Representation Model for Biomedical Text Mining,10.1093/bioinformatics/btz682,https://academic.oup.com/bioinformatics/article/36/4/1234/5566506,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
alsentzer2019_publicly_available_clinical,Publicly Available Clinical BERT Embeddings,10.18653/v1/W19-1909,https://aclanthology.org/W19-1909/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
peng2019_transfer_learning_biomedical,Transfer Learning in Biomedical Natural Language Processing: An Evaluation of BERT and ELMo on Ten Benchmarking Datasets,10.18653/v1/W19-5006,https://aclanthology.org/W19-5006/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
