CiteKey,Reviewer1,Reviewer2,Decision,Task,Architecture,Dataset,Language,Factuality_Method,Readability_Metric,Human_Eval,RoB_Tool,RoB_Judgement,Extracted_Quote,Bangla_Relevance,Notes
durmus2020_feqa_question_answering,,,Include,factuality-evaluation,,,en,QA,,,Custom NLP-Bias,,,not_applicable,
koto2020_ffci_framework_interpretable,,,Include,evaluation,,,en,metric,,,Custom NLP-Bias,,,not_applicable,
kryscinski2020_evaluating_factual_consistency,,,Include,factuality-evaluation,,,en,classifier,,,Custom NLP-Bias,,,not_applicable,
maynez2020_faithfulness_factuality_abstractive,,,Include,factuality-evaluation;summarization,,,en,human_eval,,,Custom NLP-Bias,,,not_applicable,
wang2020_asking_answering_questions,,,Include,factuality-evaluation,,,en,QA,,,Custom NLP-Bias,,,not_applicable,
oul2025_turkmednli_turkish_medical,,,Include,NLI,,,tr,NLI,,,Custom NLP-Bias,,,transferable,
aggarwal2022_indicxnli_evaluating_multilingual,,,Include,NLI,,,bn;hi;ta;te;ml;mr;gu;kn;pa;or;as,NLI,,,Custom NLP-Bias,,,direct,
saakyan2021_covid_fact_fact,,,Include,fact-verification,,,en,retrieval_nli,,,Custom NLP-Bias,,,not_applicable,
schuster2021_get_your_vitamin,,,Include,fact-verification,,,en,retrieval_nli,,,Custom NLP-Bias,,,not_applicable,
kotonya2020_explainable_fact_checking,,,Include,fact-verification,,,en,retrieval_nli,,,Custom NLP-Bias,,,not_applicable,
wadden2020_fact_or_fiction,,,Include,fact-verification,,,en,retrieval_nli,,,Custom NLP-Bias,,,not_applicable,
aziz2025_banglahealth_bengali_paraphrase,,,Include,paraphrase,,,bn,none,,,Custom NLP-Bias,,,direct,
mahtab2025_benchmark_context_driven,,,Include,NER,,,bn,entity_preservation,,,Custom NLP-Bias,,,direct,
das2024_banglat5_banglabert0_pretrained,,,Include,pretraining,,,bn,none,,,Custom NLP-Bias,,,direct,
khan2023_banglachq_summ_abstractive,,,Include,summarization,,,bn,human_eval,,,Custom NLP-Bias,,,direct,
khan2023_nervous_about_my,,,Include,NER,,,bn,entity_preservation,,,Custom NLP-Bias,,,direct,
bhattacharjee2022_banglabert_language_pretraining,,,Include,pretraining;benchmark,,,bn,none,,,Custom NLP-Bias,,,direct,
ramesh2022_samanantar_largest_publicly,,,Include,MT,,,bn;hi;ta;te;ml;mr;gu;kn;pa;or;as;en,none,,,Custom NLP-Bias,,,direct,
dabre2020_multilingual_neural_machine,,,Include,MT;survey,,,multilingual,none,,,Custom NLP-Bias,,,transferable,
hasan2020_not_low_resource,,,Include,MT,,,bn;en,none,,,Custom NLP-Bias,,,direct,
kakwani2020_indicnlpsuite_monolingual_corpora,,,Include,pretraining;benchmark,,,bn;hi;ta;te;ml;mr;gu;kn;pa;or;as,none,,,Custom NLP-Bias,,,direct,
martin2022_muss_multilingual_simplification,,,Include,simplification,,,en;fr;es,none,,,Custom NLP-Bias,,,transferable,
althanyyan2021_text_simplification,,,Include,survey,,,en,none,,,Custom NLP-Bias,,,not_applicable,
alvamanchego2020_easse_easier_sentence,,,Include,evaluation,,,en,none,,,Custom NLP-Bias,,,not_applicable,
martin2020_muss_multilingual_unsupervised,,,Include,simplification,,,en;fr;es,none,,,Custom NLP-Bias,,,transferable,
singhal2025_expert_level_medical,,,Include,medical-QA,,,en,human_eval,,,Custom NLP-Bias,,,not_applicable,
asai2024_self_rag_learning,,,Include,RAG,,,en,retrieval_grounding,,,Custom NLP-Bias,,,not_applicable,
singhal2023_language_encode_clinical,,,Include,medical-QA,,,en,human_eval,,,Custom NLP-Bias,,,not_applicable,
luo2022_biogpt_generative_pre,,,Include,generation,,,en,none,,,Custom NLP-Bias,,,not_applicable,
izacard2021_leveraging_passage_retrieval,,,Include,RAG;QA,,,en,retrieval_grounding,,,Custom NLP-Bias,,,not_applicable,
guu2020_realm_retrieval_augmented,,,Include,RAG,,,en,retrieval_grounding,,,Custom NLP-Bias,,,not_applicable,
karpukhin2020_dense_passage_retrieval,,,Include,retrieval;QA,,,en,retrieval_grounding,,,Custom NLP-Bias,,,not_applicable,
lee2020_biobert_pre_trained,,,Include,pretraining,,,en,none,,,Custom NLP-Bias,,,not_applicable,
lewis2020_retrieval_augmented_generation,,,Include,RAG,,,en,retrieval_grounding,,,Custom NLP-Bias,,,not_applicable,
zetsu2024_edit_constrained_decoding,,,Include,decoding;simplification,,,en;ja,lexical_constraint,,,Custom NLP-Bias,,,not_applicable,
krause2021_gedi_generative_discriminator,,,Include,controlled-generation,,,en,none,,,Custom NLP-Bias,,,not_applicable,
lu2021_neurologic_decoding_un,,,Include,decoding,,,en,logic_constraint,,,Custom NLP-Bias,,,not_applicable,
pascual2021_plug_play_controlled,,,Include,controlled-generation,,,en,none,,,Custom NLP-Bias,,,not_applicable,
dathathri2020_plug_play_language,,,Include,controlled-generation,,,en,none,,,Custom NLP-Bias,,,not_applicable,
kumar2020_controlled_text_generation,,,Include,controlled-generation,,,en,constraint,,,Custom NLP-Bias,,,not_applicable,
shin2020_autoprompt_eliciting_knowledge,,,Include,prompting,,,en,none,,,Custom NLP-Bias,,,not_applicable,
welleck2020_neural_text_generation,,,Include,training;decoding,,,en,none,,,Custom NLP-Bias,,,not_applicable,
rei2020_comet_neural_framework,,,Include,metric,,,multilingual,semantic_similarity,,,Custom NLP-Bias,,,not_applicable,
sellam2020_bleurt_learning_robust,,,Include,metric,,,en,semantic_similarity,,,Custom NLP-Bias,,,not_applicable,
zhang2020_bertscore_evaluating_text,,,Include,metric,,,multilingual,semantic_similarity,,,Custom NLP-Bias,,,not_applicable,
johnson2023_mimic_iv_freely,,,Include,resource,,,en,none,,,Custom NLP-Bias,,,not_applicable,
luo2022_natural_language_processing,,,Include,survey,,,en,none,,,Custom NLP-Bias,,,not_applicable,
bustos2020_padchest_chest_x,,,Include,resource,,,es,none,,,Custom NLP-Bias,,,not_applicable,
henry2020_2018_n2c2_shared,,,Include,NER;relation-extraction,,,en,entity_preservation,,,Custom NLP-Bias,,,not_applicable,
zhang2020_pegasus_pre_training,,,Include,summarization,,,en,none,,,Custom NLP-Bias,,,not_applicable,
